name;ext_id;is_ext_input;is_ext_output;is_agent_action;is_agent_observation;low_value;high_value;ext_scale_add;ext_scale_mult;abort_condition_min;abort_condition_max;from_scenario;scenario_id; scenario_scale_add; scenario_scale_mult
u_P1;u_P1;True;;True;;0;1;;;;;;;;
u_P2;u_P2;True;;True;;0;1;;;;;;;;
u_P3;u_P3;True;;True;;0;1;;;;;;;;
u_P4;u_P4;True;;True;;0;1;;;;;;;;
u_P5;u_P5;True;;True;;0;1;;;;;;;;
u_P6;u_P6;True;;True;;0;1;;;;;;;;
u_P7;u_P7;True;;True;;0;1;;;;;;;;
u_P8;u_P8;True;;True;;0;1;;;;;;;;
u_P9;u_P9;True;;True;;0;1;;;;;;;;
u_KT_1;u_KT_1;True;;True;;0;1;;;;;;;;
u_KT_2;u_KT_2;True;;True;;0;1;;;;;;;;
u_KT_3;u_KT_3;True;;True;;0;1;;;;;;;;
u_KT_4;u_KT_4;True;;True;;0;1;;;;;;;;
u_KT_5;u_KT_5;True;;True;;0;1;;;;;;;;
u_KT_6;u_KT_6;True;;True;;0;1;;;;;;;;
u_WT1;u_WT1;True;;True;;0;1;;;;;;;;
u_WT2;u_WT2;True;;True;;0;1;;;;;;;;
u_KKM1;u_chiller_KKM1;True;;True;;0;1;;;;;;;;
u_KKM2;u_chiller_KKM2;True;;True;;0;1;;;;;;;;
CoolingDemandCoolingWater;CoolingDemandCoolingWater;True;;;;0;2;;1000000;;;;;;
CoolingDemandColdWater;CoolingDemandColdWater;True;;;;0;0,15;;1000000;;;;;;
T_in_coolingCircuit;T_in_coolingCircuit;;True;;True;;;-273,15;;12;80;;;;
T_out_coolingCircuit;T_out_coolingCircuit;;True;;True;;;-273,15;;12;80;;;;
p_coolingCircuit;p_coolingCircuit;;True;;True;;;;;;;;;;
pressure_cwCircuit;pressure_cwCircuit;;True;;True;;;;;;;;;;
Temperature_cwCircuit_in;Temperature_cwCircuit_in;;True;;True;;;-273,15;;4;80;;;;
Temperature_cwCircuit_out;Temperature_cwCircuit_out;;True;;True;;;-273,15;;4;80;;;;
T_KKM1_cond_in;T_KKM1_cond_in;;True;;True;;;-273,15;;0;80;;;;
T_KKM1_evap_in;T_KKM1_evap_in;;True;;True;;;-273,15;;0;80;;;;
T_KKM1_evap_out;T_KKM1_evap_out;;True;;True;;;-273,15;;0;80;;;;
T_KKM2_cond_in;T_KKM2_cond_in;;True;;True;;;-273,15;;0;80;;;;
T_KKM2_evap_in;T_KKM2_evap_in;;True;;True;;;-273,15;;0;80;;;;
T_KKM2_evap_out;T_KKM2_evap_out;;True;;True;;;-273,15;;0;80;;;;
T_WT1_in;T_WT1_in;;True;;True;;;-273,15;;12;80;;;;
T_WT1_out;T_WT1_out;;True;;True;;;-273,15;;12;80;;;;
T_main_vorlauf;T_main_vorlauf;;True;;True;;;-273,15;;12;80;;;;
T_main_ruecklauf;T_main_ruecklauf;;True;;True;;;-273,15;;12;80;;;;
p_main_vorlauf;p_main_vorlauf;;True;;True;;;;;;;;;;
T_tank_ww;T_tank_ww;;True;;True;;;-273,15;;0;80;;;;
T_tank_cw;T_tank_cw;;True;;True;;;-273,15;;12;80;;;;
Tank_level_cold;Tank_level_cold;;True;;True;;;;;0.1;1,90;;;;
Tank_level_warm;Tank_level_warm;;True;;True;;;;;0.1;1,9;;;;
P_el_KKM_kwh;P_el_KKM;;True;;False;;;;0,001;;;;;;
P_el_KTs_kwh;P_el_KTs;;True;;False;;;;0,001;;;;;;
P_el_ges_kwh;P_el_ges;;True;;True;;;;0,001;;;;;;
s_u_P1;u_P1;;True;;True;0;1;;;;;;;;
s_u_P2;u_P2;;True;;True;0;1;;;;;;;;
s_u_P3;u_P3;;True;;True;0;1;;;;;;;;
s_u_P4;u_P4;;True;;True;0;1;;;;;;;;
s_u_P5;u_P5;;True;;True;0;1;;;;;;;;
s_u_P6;u_P6;;True;;True;0;1;;;;;;;;
s_u_P7;u_P7;;True;;True;0;1;;;;;;;;
s_u_P8;u_P8;;True;;True;0;1;;;;;;;;
s_u_P9;u_P9;;True;;True;0;1;;;;;;;;
s_u_KT_1;u_KT_1;;True;;True;0;1;;;;;;;;
s_u_KT_2;u_KT_2;;True;;True;0;1;;;;;;;;
s_u_KT_3;u_KT_3;;True;;True;0;1;;;;;;;;
s_u_KT_4;u_KT_4;;True;;True;0;1;;;;;;;;
s_u_KT_5;u_KT_5;;True;;True;0;1;;;;;;;;
s_u_KT_6;u_KT_6;;True;;True;0;1;;;;;;;;
s_u_WT1;u_WT1;;True;;True;0;1;;;;;;;;
s_u_WT2;u_WT2;;True;;True;0;1;;;;;;;;
s_u_KKM1;u_chiller_KKM1;;True;;True;0;1;;;;;;;;
s_u_KKM2;u_chiller_KKM2;;True;;True;0;1;;;;;;;;
